rent_station	return_station	num_trips
593	502	334
589	509	322
907	00907	301
648	646	300
2102	2183	298
585	589	287
502	593	287
780	00780	273
2183	2102	267
548	502	232
567	563	224
509	589	223
1210	1211	217
668	646	205
646	602	201
589	585	197
1264	2611	194
646	648	194
284	240	193
781	00703	190
754	744	187
646	668	184
2610	1210	184
502	548	178
3214	3219	177
1211	1210	176
914	00914	176
240	284	175
1210	2610	174
225	222	174
439	147	173
2136	2109	172
529	594	171
2109	2136	169
2013	2050	165
1209	1278	165
293	247	160
931	00931	160
1762	1721	156
247	293	156
744	754	156
2611	1264	153
956	00956	153
996	00996	152
594	529	151
241	1961	150
1152	1167	149
207	202	148
147	439	148
2252	2255	148
860	00860	148
230	232	147
1209	1226	147
815	00815	147
567	514	145
2412	2342	143
1167	1152	141
247	3202	140
3514	568	140
3219	3214	139
2107	2102	139
952	00949	139
1278	1209	136
703	781	136
2715	1190	135
202	207	134
259	222	132
502	3533	131
2910	1684	130
3410	3413	127
2230	2228	127
2102	2107	126
602	646	126
1152	2701	126
708	703	125
2902	1608	124
222	259	124
2342	2412	124
500	3579	124
498	3010	124
232	230	123
2213	2540	121
744	749	120
3202	247	120
2348	2355	120
781	00781	119
1149	1112	119
793	00793	118
2103	2177	118
913	00931	118
659	1308	118
563	567	118
1808	1851	116
1149	2715	116
1008	01008	116
1190	2715	115
2722	1160	115
2255	2252	114
1608	2902	113
1019	01050	113
247	244	112
2048	2032	111
2107	2183	111
2264	2228	111
846	00838	109
222	225	109
838	00846	108
825	00825	108
2183	2107	107
2733	2701	106
183	114	106
3566	3533	106
1050	1084	106
1611	2915	105
797	00703	105
711	779	105
1160	2722	104
280	247	104
1907	1851	104
2915	1611	103
911	00943	102
202	211	101
1297	1210	101
4652	996	101
561	509	101
2915	1608	101
1257	2629	100
230	243	100
3533	502	100
703	708	100
568	3514	99
3509	3518	99
2820	1936	99
788	00787	99
836	00836	99
583	502	99
1708	1721	98
1961	241	98
1173	1158	98
2202	2206	98
3520	505	98
117	175	98
221	207	98
2056	2177	97
2622	1078	97
207	222	97
2355	2348	97
290	247	96
311	308	96
1616	1608	96
703	797	96
244	247	95
1158	1118	95
1906	263	95
792	00792	95
1608	1655	95
837	00837	95
2109	2173	94
829	00829	94
514	567	94
906	00906	94
726	746	94
815	00832	94
415	412	93
931	00913	93
2715	1149	93
832	00832	93
2183	2140	93
2701	1152	93
3533	3566	93
230	231	93
3010	498	92
2701	2717	92
1023	1090	92
1404	1449	92
1911	1962	92
247	280	92
787	00788	91
913	00911	91
1011	01050	91
2140	2183	90
1655	1608	90
1911	2102	90
797	00797	90
342	355	90
1135	1132	90
800	00800	90
1721	1762	89
1962	1911	89
2623	2639	89
508	563	89
505	3569	89
1112	1149	89
3413	3410	89
2102	1911	89
912	00912	89
2629	1257	89
1684	2910	88
1171	1169	88
1911	1986	88
680	634	87
907	00913	87
911	00913	87
749	744	87
3518	3549	87
211	202	87
2177	2106	87
2715	2717	86
1340	1601	86
1172	1158	86
2102	2106	85
1050	1019	85
1363	1308	85
284	263	85
2611	1274	85
231	230	85
412	415	85
2217	2219	85
178	194	84
1752	1721	84
786	00786	84
3010	116	84
207	221	84
793	00765	84
567	3571	84
2728	2717	83
3533	588	83
1851	1805	83
2715	1113	83
2219	2217	83
2228	2264	83
3513	568	83
648	602	83
796	00796	83
1090	1023	83
259	226	83
1977	1981	82
1019	01019	82
1002	01009	82
1251	2620	82
1308	659	82
2715	2720	82
1009	01008	82
1911	2801	82
610	631	82
207	218	82
1656	1673	82
217	211	81
222	224	81
576	551	81
175	117	81
943	00943	81
1308	1354	81
394	367	81
1084	1050	81
1262	1210	81
2177	1911	81
771	00771	81
735	744	81
509	585	80
1382	1328	80
2384	2377	80
785	00785	80
1011	01011	80
2615	2629	80
367	394	80
913	00907	80
2620	1262	80
194	178	80
263	230	79
1118	1158	79
211	217	79
2176	2177	79
2264	2220	79
996	00931	79
3518	3509	79
1851	1808	78
2701	1191	78
832	00815	78
1697	1673	78
1222	2645	78
2173	2109	77
210	274	77
183	3010	77
162	140	77
283	230	77
1625	1653	77
1907	1908	77
203	202	77
1960	1961	77
1354	1308	77
2647	2601	77
1167	2701	77
3536	3533	77
950	00906	76
765	748	76
2701	1190	76
228	227	76
230	263	76
154	152	76
2109	2189	76
1160	1153	76
1830	1848	76
1113	2715	76
602	648	76
2315	2316	76
1152	2715	75
1851	1907	75
1936	2820	75
262	240	75
701	770	75
3535	3500	75
1112	1151	75
2629	2615	75
941	00905	75
2170	2177	75
2050	2013	75
1721	1708	75
116	3010	74
439	144	74
1911	2177	74
1002	01002	74
1001	01008	74
2086	2032	74
1841	1867	74
2177	2103	74
280	268	74
502	3536	74
574	3535	74
1655	1616	74
2050	2007	74
1078	2622	73
2102	2177	73
1210	1293	73
786	00770	73
1977	3906	73
915	00915	73
2701	1167	73
279	3219	73
1158	1174	73
1531	1501	73
2540	2213	73
1182	1124	72
211	218	72
1908	1907	72
243	230	72
1004	01004	72
217	207	72
1390	647	72
1022	1050	72
3310	2169	72
2405	2348	72
212	206	72
1191	2715	72
1344	1384	72
1193	1153	72
1737	1569	71
1848	1833	71
2921	2904	71
431	378	71
1153	1160	71
834	00800	71
2620	1251	71
165	179	71
1721	1752	71
