source	target	weight
0	1	3
0	2	6
3	4	5
3	5	4
6	7	4
6	8	4
6	9	9
6	10	5
6	11	13
6	12	34
6	13	5
14	15	4
14	5	10
14	16	3
14	1	5
14	17	3
14	18	12
19	4	11
19	20	6
19	21	4
19	22	5
19	23	3
19	24	7
25	26	3
25	12	5
25	27	3
7	8	3
7	28	3
7	26	4
7	11	10
7	12	32
7	29	4
7	27	5
7	13	8
7	30	7
31	5	11
31	32	6
31	33	8
31	18	4
31	34	3
35	16	4
36	37	3
36	38	14
36	39	5
36	40	12
36	41	3
36	5	30
36	42	5
36	43	10
36	44	39
36	12	37
36	33	12
36	45	4
36	46	39
36	47	18
36	48	13
36	49	3
36	50	7
36	51	15
36	18	8
36	52	3
36	53	7
36	54	104
36	55	20
36	34	6
36	56	5
36	57	4
36	58	4
59	40	3
60	5	3
60	18	4
61	62	3
61	53	3
63	64	3
63	40	12
63	5	28
63	1	4
63	44	6
63	17	4
63	45	3
63	49	7
63	65	8
63	62	13
63	18	40
63	53	3
63	54	3
63	66	9
37	38	6
37	40	3
37	67	3
37	11	9
37	12	41
37	68	7
37	69	3
37	51	7
37	18	3
37	70	4
37	30	8
37	71	3
37	58	4
72	5	3
72	73	6
72	74	5
72	18	5
72	54	4
72	75	5
64	40	9
64	44	3
64	45	5
64	54	6
8	11	8
8	12	10
8	13	3
38	39	18
38	40	6
38	5	19
38	76	3
38	77	3
38	78	29
38	79	3
38	11	4
38	44	3
38	17	7
38	12	56
38	33	11
38	80	4
38	68	65
38	81	17
38	82	12
38	49	3
38	62	3
38	83	4
38	84	4
38	50	32
38	51	112
38	18	11
38	52	6
38	54	10
38	85	4
38	70	23
38	56	5
38	30	31
38	58	3
15	5	11
15	86	4
15	49	14
15	84	3
15	18	5
87	39	6
87	88	8
87	89	4
87	52	4
87	90	3
87	91	3
87	30	61
87	2	4
87	92	11
87	93	5
94	39	16
94	95	3
94	96	5
94	1	7
94	97	10
94	98	3
94	51	9
94	70	6
94	30	4
94	2	3
94	99	3
39	40	12
39	100	3
39	101	3
39	5	64
39	95	7
39	102	3
39	77	10
39	96	6
39	1	9
39	44	4
39	17	11
39	12	14
39	103	4
39	68	14
39	97	33
39	89	6
39	104	5
39	105	3
39	106	9
39	107	3
39	98	3
39	49	22
39	83	6
39	50	3
39	51	49
39	108	3
39	18	22
39	52	25
39	54	9
39	109	5
39	70	9
39	30	49
39	110	4
39	2	7
39	92	5
39	66	10
39	99	13
39	111	3
39	93	5
112	5	7
112	62	3
112	34	6
40	5	69
40	42	4
40	1	16
40	113	4
40	44	42
40	17	7
40	12	4
40	33	5
40	45	4
40	46	3
40	48	7
40	49	13
40	65	9
40	62	5
40	18	72
40	53	5
40	54	29
40	114	5
40	56	4
40	30	27
40	2	10
40	66	19
40	57	4
115	30	5
9	12	4
9	13	6
88	30	5
