id	name
0	Addam-Marbrand
1	Gyles-Rosby
2	Jaime-Lannister
3	Jalabhar-Xho
4	Joffrey-Baratheon
5	Kevan-Lannister
6	Oberyn-Martell
7	Tyrion-Lannister
8	Varys
9	Aegon-Frey-(son-of-Stevron)
10	Catelyn-Stark
11	Robb-Stark
12	Stevron-Frey
13	Walder-Frey
14	Aegon-I-Targaryen
15	Daenerys-Targaryen
16	Stannis-Baratheon
17	Torrhen-Stark
18	Aegon-Targaryen-(son-of-Rhaegar)
19	Elia-Martell
20	Aemon-Targaryen-(Dragonknight)
21	Aemon-Targaryen-(Maester-Aemon)
22	Alliser-Thorne
23	Clydas
24	Cotter-Pyke
25	Denys-Mallister
26	Donal-Noye
27	Eddison-Tollett
28	Grenn
29	Hobb
30	Janos-Slynt
31	Jeor-Mormont
32	Jon-Snow
33	Mance-Rayder
34	Owen
35	Pypar
36	Robert-Baratheon
37	Samwell-Tarly
38	Wynton-Stout
39	Aerys-II-Targaryen
40	Arthur-Dayne
41	Brienne-of-Tarth
42	Rossart
43	Tywin-Lannister
44	Viserys-Targaryen
45	Aggo
46	Jhogo
47	Rakharo
48	Alayaya
49	Bronn
50	Cersei-Lannister
51	Alerie-Hightower
52	Mace-Tyrell
53	Margaery-Tyrell
54	Alester-Florent
55	Axell-Florent
56	Davos-Seaworth
57	Lamprey
58	Selyse-Florent
59	Alla-Tyrell
60	Elinor-Tyrell
61	Megga-Tyrell
62	Sansa-Stark
63	Qhorin-Halfhand
64	Amory-Lorch
65	Gregor-Clegane
66	Vargo-Hoat
67	Anders-Yronwood
68	Andrew-Estermont
69	Edric-Storm
70	Gerald-Gower
71	Anguy
72	Arya-Stark
73	Beric-Dondarrion
74	Greenbeard
75	Harwin
76	Husband
77	Lem
78	Sandor-Clegane
79	Sharna
80	Tom-of-Sevenstreams
81	Arson
82	Arstan
83	Belwas
84	Illyrio-Mopatis
85	Jhiqui
86	Jorah-Mormont
87	Kraznys-mo-Nakloz
88	Mero
89	Rhaegar-Targaryen
90	Gerold-Hightower
91	Lewyn-Martell
92	Smiling-Knight
93	Bran-Stark
94	Brynden-Tully
95	Dunsen
96	Eddard-Stark
97	Elmar-Frey
98	Gendry
99	Hot-Pie
100	Ilyn-Payne
101	Mad-Huntsman
102	Meryn-Trant
103	Mycah
104	Nan
105	Pate-(Old)
106	Polliver
107	Rafford
108	Ravella-Swann
109	Rickon-Stark
110	Roose-Bolton
111	Thoros-of-Myr
112	Tickler
113	Melisandre
114	Porridge
115	Salladhor-Saan
116	Azor-Ahai
117	Baelor-I-Targaryen
118	Ballabar
119	Frenken
120	Balon-Greyjoy
121	Balon-Swann
122	Boros-Blount
123	Loras-Tyrell
124	Osmund-Kettleblack
125	Bannen
126	Dywen
127	Barristan-Selmy
128	Bedwyck
129	Craster
130	Ben-Plumm
131	Oznak-zo-Pahl
132	Daario-Naharis
133	Benjen-Stark
134	Jack-Bulwer
135	Big-Boil
136	Ygritte
137	Biter
138	Rorge
139	Blane
140	Tommen-Baratheon
141	Bowen-Marsh
142	Othell-Yarwyck
143	Coldhands
144	Hodor
145	Jojen-Reed
146	Jon-Umber-(Greatjon)
147	Meera-Reed
148	Theon-Greyjoy
149	Brandon-Stark
150	Brella
151	Shae
152	Brenett
153	Cleos-Frey
154	Qyburn
155	Walton
156	Lollys-Stokeworth
157	Mandon-Moore
158	Podrick-Payne
159	Edmure-Tully
160	Rickard-Karstark
161	Butterbumps
162	Olenna-Redwyne
163	Byam-Flint
164	Dacey-Mormont
165	Desmond-Grell
166	Hoster-Tully
167	Jason-Mallister
168	Jeyne-Westerling
169	Lothar-Frey
170	Lysa-Arryn
171	Maege-Mormont
172	Marq-Piper
173	Petyr-Baelish
174	Raynald-Westerling
175	Robin-Ryger
176	Rodrik-Cassel
177	Roslin-Frey
178	Ryman-Frey
179	Tansy
180	Vyman
181	Ellaria-Sand
182	Lancel-Lannister
183	Pycelle
184	Willas-Tyrell
185	Chataya
186	Chett
187	Lark
188	Small-Paul
189	Cleon
190	Ghael
191	Clubfoot-Karl
192	Gilly
193	Dirk
194	Tormund
195	Cressen
196	Drogo
197	Irri
198	Prendahl-na-Ghezn
199	Sallor
200	Grey-Worm
201	Groleo
202	Missandei
203	Rhaegel-Targaryen
204	Daeron-I-Targaryen
205	Shireen-Baratheon
206	Dalla
207	Val
208	Devan-Seaworth
209	Guncer-Sunglass
210	Khorane-Sathmantes
211	Pylos
212	Utherydes-Wayn
213	Dick-Follard
214	Satin
215	Mag-Mar-Tun-Doh-Weg
216	Dontos-Hollard
217	Lothor-Brune
218	Moon-Boy
219	Doran-Martell
220	Watt
221	Errok
222	Grigg
223	Styr
224	Galbart-Glover
225	Robett-Glover
226	Galyeon-of-Cuy
227	Garlan-Tyrell
228	Leonette-Fossoway
229	Gawen-Westerling
230	Sybell-Spicer
231	Gendel
232	Gorne
233	Merrit
234	Grazdan-mo-Eraz
235	Helman-Tallhart
236	Kegs
237	Jarl
238	Grisel
239	Halder
240	Todder
241	Hareth-(Moles-Town)
242	Mully
243	Spare-Boot
244	Harma
245	Rattleshirt
246	Varamyr
247	Weeper
248	Randyll-Tarly
249	High-Septon-(Tyrions)
250	Jack-Be-Lucky
251	Renly-Baratheon
252	Shagwell
253	Urswyck
254	Tytos-Blackwood
255	Thoren-Smallwood
256	Joanna-Lannister
257	Myrcella-Baratheon
258	Paxter-Redwyne
259	Jon-Arryn
260	Robert-Arryn
261	Orell
262	Ryk
263	Zei
264	Jon-Umber-(Smalljon)
265	Robin-Flint
266	Wendel-Manderly
267	Jonothor-Darry
268	Oswell-Whent
269	Joramun
270	Kella
271	Willem-Lannister
272	Softfoot
273	Symon-Silver-Tongue
274	Tanda-Stokeworth
275	Merrett-Frey
276	Walder-Rivers
277	Luwin
278	Marillion
279	Mathis-Rowan
280	Maegor-I-Targaryen
281	Mallador-Locke
282	Martyn-Lannister
283	Mordane
284	Munda
285	Nage
286	Olyvar-Frey
287	Oswell-Kettleblack
288	Ottyn-Wythers
289	Patchface
290	Perwyn-Frey
291	Yohn-Royce
292	Petyr-Frey
293	Ragwyle
294	Ramsay-Snow
295	Rollam-Westerling
296	Rhaella-Targaryen
297	Rolph-Spicer
298	Tristifer-IV-Mudd
299	Zollo
300	Tysha
301	Simon-Toyne
302	Tion-Frey
